UMPD Case Number,Address
2022-00000238,Lot XX1
2022-00000271,University Blvd
2022-00000623,9100 block of Bridgewater St
2022-00000624,"Clarice Smith Performing Arts Center, CSPAC at 8270 Alumni Dr"
2022-00001188,4200 block of Chapel Ln
2022-00001495,"91, Chemistry, Chemistry Building at 8051 Regents Dr"
2022-00001605,University Blvd
2022-00001657,"77, Main Admin, Main Administration Building, Thomas V. Miller Jr. Administration Building at 7901 Regents Dr"
2022-00001659,"35, McKeldin Library at 7649 Library Ln"
2022-00001913,"Clarice Smith Performing Arts Center, CSPAC at 8270 Alumni Dr"
2022-00001968,Health Center at 3983 Campus Dr
2022-00002305,"Drazek Circle, UMGC at 346 Ehrensberger Dr"
2022-00002466,3400 block of Tulane Dr
2022-00002595,"68, Eppley, Eppley Recreation Center, ERC at 4128 Valley Dr"
2022-00002618,University Blvd
2022-00002871,"Comcast Center, Xfinity, Xfinity Center at 8500 Paint Branch Dr"
2022-00002966,Frat Row
2022-00002978,"E. A. Fernandez Idea Factory, Idea Factory at 4462 Stadium Dr"
2022-00003242,"Club House, Golf Course Club House at 3800 Golf Course Rd"
2022-00003985,Jull Hall at 4196 Stadium Dr
2022-00004020,University Blvd
2022-00004144,8100 block of Boteler Ln
2022-00004171,"4, Ritchie Coliseum at 7675 Baltimore Ave"
2022-00004277,"48, Francis Scott, Francis Scott Key, Francis Scott Key Hall, FS Key Hall, FSK at 4282 Chapel Ln"
2022-00004332,3900 block of Denton Service Ln
2022-00004704,Lot 2a
2022-00004711,4800 block of College Ave
2022-00004775,College Ave
2022-00004806,7300 block of Hopkins Ave
2022-00004807,University Blvd
2022-00004809,8100 block of Boteler Ln
2022-00004820,UMGC Inn & Conference Center at 345 Ehrensberger Dr
2022-00004881,3900 block of Denton Service Ln
2022-00005097,7000 block of Preinkert Dr
2022-00005251,Hagerstown Hall at 8075 Hagerstown Dr
2022-00005260,"Brendan Iribe Center, Iribe Center at 8125 Paint Branch Dr"
2022-00005286,"17, Cecil, Cecil Hall at 7549 Calvert Service Ln"
2022-00005356,"76, Symons Hall at 7998 Regents Dr"
2022-00005372,8000 block of Regents Dr
2022-00005387,Campus Dr
2022-00005432,4400 block of Rossborough Ln
2022-00005538,"Commons 5, SCC 5, South Campus Commons 5 at 6903 Preinkert Dr"
2022-00005599,7000 block of Preinkert Dr
2022-00005631,University Courtyard #4 at 8400 Boteler Ln
2022-00005780,"Elkins, Elkins Building, Systems Office, UM Systems Office at 3300 Metzerott Rd"
2022-00005817,"84, Kirwan Hall, Mathematics, Mathematics Building, William E. Kirwan Hall, William Kirwan Hall at 4176 Campus Dr"
2022-00005832,Graduate Hills Apartment #287 at 3410 Tulane Dr
2022-00006085,8200 block of Paint Branch Dr
2022-00006086,Hagerstown Hall at 8075 Hagerstown Dr
2022-00006093,University Club at 4800 Berwyn House Rd
2022-00006114,Cumberland Hall at 4250 Farm Dr
2022-00006128,7500 block of Columbia Ave
2022-00006258,4200 block of Farm Dr
2022-00006262,3900 block of Campus Dr
2022-00006385,7500 block of Regents Dr
2022-00006408,4300 block of Knox Rd
2022-00006523,"Commons 1, SCC 1, South Campus Commons 1 at 4250 Lehigh Rd"
2022-00006522,"Commons 4, SCC 4, South Campus Commons 4 at 4310 Knox Rd"
2022-00006566,"Commons 7, SCC 7, South Campus Commons 7 at 6801 Preinkert Dr"
2022-00006594,Baltimore Ave
2022-00006617,3900 block of Denton Service Ln
2022-00006852,University Blvd
2022-00006999,Metzerott Rd
2022-00007035,3800 block of Stadium Dr
2022-00007037,"Recreation Artificial Turf Field, Turf Field, Turf Fields"
2022-00007057,4200 block of Farm Dr
2022-00007071,"98, Centreville, Centreville Hall at 4243 Valley Dr"
2022-00007183,"26, South Campus Dining Hall at 7093 Preinkert Dr"
2022-00007290,3900 block of Denton Service Ln
2022-00007373,8000 block of La Plata Dr
2022-00007383,3400 block of Tulane Dr
2022-00007406,"26, South Campus Dining Hall at 7093 Preinkert Dr"
2022-00007424,"Dairy, Stamp, Stamp Student Union, Student Union, Union at 3972 Campus Dr"
2022-00007467,"Nyumburu, Nyumburu Cultural Center at 4018 Campus Dr"
2022-00007493,"Easton, Easton Hall at 3917 Denton Service Ln"
2022-00007653,3400 block of Tulane Dr
2022-00007663,7500 block of Princeton Ave
2022-00007726,La Plata Hall at 8160 La Plata Dr
2022-00007811,8200 block of Paint Branch Dr
2022-00007817,"Brendan Iribe Center, Iribe Center at 8125 Paint Branch Dr"
2022-00007861,Kim Engineering Building at 8228 Paint Branch Dr
2022-00007868,Calvert Rd
2022-00007887,7500 block of Yale Ave
2022-00007945,Baltimore Ave
2022-00007960,3900 block of Denton Service Ln
2022-00007970,4200 block of Farm Dr
2022-00008002,"Cole, Cole Field House, Cole Student Activities Building, Driscoll Center at 4090 Union Dr"
2022-00008109,"DOTS, Lot B, Lot RR, PG2, RDG, Regents Drive Parking Garage, WAM Lab at 8056 Regents Dr"
2022-00008166,3900 block of Denton Service Ln
2022-00008172,Baltimore Ave
2022-00008181,3400 block of Tulane Dr
2022-00008237,"Cole, Cole Field House, Cole Student Activities Building, Driscoll Center at 4090 Union Dr"
2022-00008302,"35, McKeldin Library at 7649 Library Ln"
2022-00008321,"Dairy, Stamp, Stamp Student Union, Student Union, Union at 3972 Campus Dr"
2022-00008404,3900 block of Denton Service Ln
2022-00008428,"71, Lee Building, South Administration at 7809 Regents Dr"
2022-00008439,"Microbiology, Microbiology Building at 4062 Campus Dr"
2022-00008586,"37, Shoemaker, Shoemaker Building at 4281 Chapel Ln"
2022-00008772,"37, Shoemaker, Shoemaker Building at 4281 Chapel Ln"
2022-00008847,"70, Caroline Hall at 7154 Preinkert Dr"
2022-00008870,"Frat 10, Sigma Kappa, Sigma Kappa Sorority at 10 Fraternity Row"
2022-00008964,"Alpha Epsilon Phi, Alpha Epsilon Phi Sorority, Frat 11 at 11 Fraternity Row"
2022-00008972,"Litton, Police Services & Training Facility at 7147 51st Ave"
2022-00009001,"35, McKeldin Library at 7649 Library Ln"
2022-00009061,Cumberland Hall at 4250 Farm Dr
2022-00009106,"38, Lefrak, Lefrak Hall at 7251 Preinkert Dr"
2022-00009198,"Alpha Epsilon Phi, Alpha Epsilon Phi Sorority, Frat 11 at 11 Fraternity Row"
2022-00009206,948 at 4600 River Rd
2022-00009237,"7, Pocomoke, Pocomoke Building, Police, UMDPS, UMPD at 7569 Baltimore Ave"
2022-00009268,3800 block of Stadium Dr
2022-00009330,Campus Village at 8145 Baltimore Ave
2022-00009332,"Easton, Easton Hall at 3917 Denton Service Ln"
2022-00009359,Pontiac St
2022-00009363,Lot F
2022-00009370,4300 block of Knox Rd
2022-00009473,"Dairy, Stamp, Stamp Student Union, Student Union, Union at 3972 Campus Dr"
2022-00009516,Lot 4B
2022-00009518,"Commons 5, SCC 5, South Campus Commons 5 at 6903 Preinkert Dr"
2022-00009649,Campus Dr
2022-00009659,Baltimore Ave
2022-00009901,7500 block of Calvert Service Ln
2022-00009905,"Lot 19, Lot U2, MLG, Mowatt Garage, Mowatt Lane Garage, Mowatt Lane Parking Garage, PG5 at 7591 Mowatt Ln"
2022-00010009,3800 block of University Blvd
2022-00010039,"91, Chemistry, Chemistry Building at 8051 Regents Dr"
2022-00010151,Baltimore Ave
2022-00010165,Lot 5
2022-00010270,7300 block of Preinkert Dr
2022-00010274,University Courtyard #2 at 8200 Boteler Ln
2022-00010321,Manufacturing Building at 8197 Regents Dr
2022-00010389,Campus Dr
2022-00010406,"PG3, SDG, Stadium Drive Garage, Stadium Drive Parking Garage at 4025 Stadium Dr"
2022-00010560,Lot 11b
2022-00010580,4200 block of Valley Dr
2022-00010581,"7, Pocomoke, Pocomoke Building, Police, UMDPS, UMPD at 7569 Baltimore Ave"
2022-00010615,7504 Belmar Ct
2022-00010671,"Commons 3, SCC 3, South Campus Commons 3 at 4318 Knox Rd"
2022-00010731,"26, South Campus Dining Hall at 7093 Preinkert Dr"
2022-00010813,Cumberland Hall at 4250 Farm Dr
2022-00010828,"31, Garrett, Garrett Hall at 7570 Calvert Service Ln"
2022-00010914,"79, Turner Hall, Visitor Center at 7736 Baltimore Ave"
2022-00010990,"84, Kirwan Hall, Mathematics, Mathematics Building, William E. Kirwan Hall, William Kirwan Hall at 4176 Campus Dr"
2022-00011023,"Litton, Police Services & Training Facility at 7147 51st Ave"
2022-00011038,"Denton Area Dining Hall, Denton Dining Hall at 3951 Denton Service Ln"
2022-00011164,3900 block of Campus Dr
2022-00011290,Lot N9
2022-00011292,"Easton, Easton Hall at 3917 Denton Service Ln"
2022-00011380,"Lot 19, Lot U2, MLG, Mowatt Garage, Mowatt Lane Garage, Mowatt Lane Parking Garage, PG5 at 7591 Mowatt Ln"
2022-00011383,"78, Armory, Reckord Armory at 4490 Rossborough Ln"
2022-00011388,"PG3, SDG, Stadium Drive Garage, Stadium Drive Parking Garage at 4025 Stadium Dr"
2022-00011644,7400 block of Calvert Service Ln
2022-00011643,"Frat 14, Zeta Beta Tau, Zeta Beta Tau Fraternity at 14 Fraternity Row"
2022-00011652,4400 block of Lehigh Rd
2022-00011681,Lot 2a
2022-00011830,4300 block of Knox Rd
2022-00011832,7600 block of Library Ln
2022-00011833,Mowatt Ln
2022-00011837,"Frat 14, Zeta Beta Tau, Zeta Beta Tau Fraternity at 14 Fraternity Row"
2022-00012095,"Comcast Center, Xfinity, Xfinity Center at 8500 Paint Branch Dr"
2022-00012182,"7-11 Guilford, 7-Eleven Guilford at 7201 Baltimore Ave"
2022-00012228,"82, John S. Toll Physics Building, Physics, Physics Building at 4150 Campus Dr"
2022-00012376,"E. A. Fernandez Idea Factory, Idea Factory at 4462 Stadium Dr"
2022-00012393,University Blvd
2022-00012398,Baltimore Ave
2022-00012449,4000 block of Stadium Dr
2022-00012489,"Dairy, Stamp, Stamp Student Union, Student Union, Union at 3972 Campus Dr"
2022-00012516,"Dairy, Stamp, Stamp Student Union, Student Union, Union at 3972 Campus Dr"
2022-00012550,6900 block of Preinkert Dr
2022-00012636,"Commons 1, SCC 1, South Campus Commons 1 at 4250 Lehigh Rd"
2022-00012649,"Lot 19, Lot U2, MLG, Mowatt Garage, Mowatt Lane Garage, Mowatt Lane Parking Garage, PG5 at 7591 Mowatt Ln"
2022-00012667,DOTS Impound Lot
2022-00012671,8000 block of Regents Dr
2022-00012675,"46, Marie Mount, Marie Mount Hall at 7814 Regents Dr"
2022-00012677,"36, Plant Sciences Building at 4291 Fieldhouse Dr"
2022-00012686,7700 block of Alumni Dr
2022-00012719,"Lot HH, PG1, ULG, Union Lane Garage, Union Lane Parking Garage at 4170 Union Ln"
2022-00012992,"37, Shoemaker, Shoemaker Building at 4281 Chapel Ln"
2022-00013240,8000 block of Hagerstown Dr
2022-00013270,7000 block of Baltimore Ave
2022-00013289,"Recreation Artificial Turf Field, Turf Field, Turf Fields"
2022-00013294,Union Ln
2022-00013317,"Dairy, Stamp, Stamp Student Union, Student Union, Union at 3972 Campus Dr"
2022-00013354,"11, The Hall at 4656 Hotel Dr"
2022-00013413,7500 block of Preinkert Dr
2022-00013437,3800 block of Stadium Dr
2022-00013480,"Lot 19, Lot U2, MLG, Mowatt Garage, Mowatt Lane Garage, Mowatt Lane Parking Garage, PG5 at 7591 Mowatt Ln"
2022-00013487,"Lot 19, Lot U2, MLG, Mowatt Garage, Mowatt Lane Garage, Mowatt Lane Parking Garage, PG5 at 7591 Mowatt Ln"
2022-00013489,"Pyon Chen, Pyon-Chen Hall at 8097 La Plata Dr"
2022-00013575,"Lot 19, Lot U2, MLG, Mowatt Garage, Mowatt Lane Garage, Mowatt Lane Parking Garage, PG5 at 7591 Mowatt Ln"
2022-00013647,"Lot 19, Lot U2, MLG, Mowatt Garage, Mowatt Lane Garage, Mowatt Lane Parking Garage, PG5 at 7591 Mowatt Ln"
2022-00013673,"Cole, Cole Field House, Cole Student Activities Building, Driscoll Center at 4090 Union Dr"
2022-00013704,"39, Van Munching, Van Munching Hall at 7699 Mowatt Ln"
2022-00013724,Cumberland Hall at 4250 Farm Dr
2022-00013869,4400 block of Technology Dr
2022-00013875,Lot SS1
2022-00013888,"7, Pocomoke, Pocomoke Building, Police, UMDPS, UMPD at 7569 Baltimore Ave"
2022-00013972,Guilford Rd
2022-00013984,"Elkton, Elkton Hall at 3981 Denton Service Ln"
2022-00013994,"63, Somerset, Somerset Hall at 7567 Preinkert Dr"
2022-00014057,"S Campus Surge, Susquehanna, Susquehanna Hall at 4200 Lehigh Rd"
2022-00014149,7200 block of Preinkert Dr
2022-00014155,"39, Van Munching, Van Munching Hall at 7699 Mowatt Ln"
2022-00014177,7600 block of Mowatt Ln
2022-00014391,"4, Ritchie Coliseum at 7675 Baltimore Ave"
2022-00014462,Mowatt Ln
2022-00014465,Mowatt Ln
2022-00014480,4200 block of Valley Dr
2022-00014496,4000 block of Stadium Dr
2022-00014754,"Dairy, Stamp, Stamp Student Union, Student Union, Union at 3972 Campus Dr"
2022-00014764,Cumberland Hall at 4250 Farm Dr
2022-00014783,"Oakland, Oakland Hall at 3912 Denton Service Ln"
2022-00014832,3400 block of Tulane Dr
2022-00014987,"26, South Campus Dining Hall at 7093 Preinkert Dr"
2022-00014989,3900 block of Denton Service Ln
2022-00015230,4200 block of Farm Dr
2022-00015250,"Delta Chi Fraternity, Frat 6 at 6 Fraternity Row"
2022-00015479,"65, Carroll, Carroll Hall at 7284 Preinkert Dr"
2022-00015500,"15, Calvert, Calvert Hall at 7551 Calvert Service Ln"
2022-00015550,6900 block of Preinkert Dr
2022-00015713,4200 block of Farm Dr
2022-00015760,"Denton Area Dining Hall, Denton Dining Hall at 3951 Denton Service Ln"
2022-00015804,"Brendan Iribe Center, Iribe Center at 8125 Paint Branch Dr"
2022-00015803,University Blvd
2022-00015821,Chapel Field
