stop_id,stop_name,stop_lat,stop_lon,agency
3002287,GREENBELT RD + CHERRYWOOD LN,38.998063,-76.911678,TheBus
3002305,Cherrywood Lane at Greenbelt Road,38.999383,-76.911603,TheBus
3002309,Cherrywood Lane at Beltway Plaza Shopping Center,38.999443,-76.911842,TheBus
31199,Greenbelt Station Pkwy & S. Center Dr,39.001952,-76.91656,TheBus
31200,Greenbelt Station Pkwy & Streambank Ln,39.000739,-76.917574,TheBus
3004387,College Park Station + Bus Bay C,38.977941,-76.926984,TheBus
3004292,CAMPUS DR + PAINT BRANCH TRAIL,38.983559,-76.930768,TheBus
3002181,CAMPUS DR + REGENTS DR,38.987973,-76.93872,TheBus
3004393,Stadium Dr+Regents Dr,38.990637,-76.941859,TheBus
3004394,Stadium Dr+#4136 Yahentamitsi Dining Hall,38.990637,-76.945235,TheBus
3004395,Stadium Dr+Hagerstown Ln,38.991778,-76.947457,TheBus
3004396,Stadium Drive & Denton Hall,38.991896,-76.949979,TheBus
3003415,ADELPHI RD + 26TH PL,38.993971,-76.959405,TheBus
3002248,ADELPHI RD + 26TH PL,38.993591,-76.959433,TheBus
3004294,STADIUM DR + SMITH PERFORMING ARTS CENTER,38.991749,-76.950229,TheBus
3004295,STADIUM DR + STADIUM PKG GARAGE,38.991879,-76.947752,TheBus
3004296,STADIUM DR + VARSITY TEAM HOUSE,38.990599,-76.94549,TheBus
3004297,REGENTS DR + REGENTS DR GARAGE,38.989406,-76.940807,TheBus
3002184,CAMPUS DR + REGENTS DR,38.987831,-76.93856,TheBus
3002655,CAMPUS DR + BALTIMORE AVE,38.988006,-76.934134,TheBus
3004291,CAMPUS DR + PAINT BRANCH TRAIL,38.98344,-76.93099,TheBus
3001616,38th Street at Hamilton Street,38.952923,-76.954827,TheBus
31108,Hamilton Street at 38th Avenue,38.953454,-76.955143,TheBus
3001635,Hamilton Street at 37th Avenue,38.953852,-76.95638,TheBus
3001643,Hamilton Street at 36th Avenue,38.954438,-76.958421,TheBus
3001700,Queens Chapel Road at Lancer Drive,38.957433,-76.959504,TheBus
3001733,Queens Chapel Road at 5805 Queens Chapel Road,38.959505,-76.956797,TheBus
3001753,Queens Chapel Road at Nicholson Street,38.960539,-76.955497,TheBus
3001794,Queens Chapel Road at Oliver Street,38.962008,-76.953733,TheBus
3001847,BELCREST RD + QUEENS CHAPEL RD,38.964352,-76.952645,TheBus
3003209,HYATTSVILLE CROSSING STATION + BUS BAY C,38.96513,-76.95621,TheBus
3002703,East-West Highway at Metro Center Drive,38.967003,-76.958176,TheBus
3003183,East-West Highway at Prince Georges Mall Entrance,38.966697,-76.957922,TheBus
3003180,HYATTSVILLE CROSSING STATION + BUS BAY F,38.965439,-76.956231,TheBus
